Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand
Zouhair Feddal,Betis,es La Liga,DF,30,1431,15.9,,,,,652.798578960176,Top Starter,769.2862835449839,World Class
Ljubomir Fejsa,Alavés,es La Liga,MF,30,786,8.7,,,162.51728334621433,Below Big-5 Level,,,584.0391850641328,Top Starter
Nabil Fekir,Betis,es La Liga,Off_MF,26,2638,29.3,479.0036527101471,Top Starter,,,,,671.4118648790459,Top Starter
Felipe,Atlético Madrid,es La Liga,DF,30,2102,23.4,,,,,601.8470466378614,Top Starter,715.9597837465452,Top Starter
Luiz Felipe,Lazio,it Serie A,DF,22,2024,22.5,,,,,732.8009630822714,Top Starter,685.9637474219509,Top Starter
Lucas Felippe,Hellas Verona,it Serie A,MF,19,28,0.3,,,,,,,,
João Félix,Atlético Madrid,es La Liga,FW,19,1745,19.4,436.57836556642854,Top Starter,,,,,437.886507824051,Top Starter
Ohis Felix Uduokhai,Augsburg,de Bundesliga,DF,21,1966,21.8,,,,,779.2094098368874,World Class,855.4937097069584,World Class
Kiko Femenía,Watford,eng Premier League,DF,28,2237,24.9,,,,,576.0325222152596,Top Starter,694.4526118063823,Top Starter
Zinedine Ferhat,Nîmes,fr Ligue 1,FW,26,2246,25.0,373.67606284324546,Solid Squad Player,,,,,631.7362445375755,Top Starter
Bruno Fernandes,Manchester Utd,eng Premier League,Off_MF,24,1186,13.2,776.875901572775,World Class,,,,,728.5623677238959,Top Starter
Edimilson Fernandes,Mainz 05,de Bundesliga,MF,23,1484,16.5,,,324.62112037573996,Solid Squad Player,,,731.2032081254355,Top Starter
Gedson Fernandes,Tottenham,eng Premier League,Off_MF,20,68,0.8,,,,,,,,
Gelson Fernandes,Eint Frankfurt,de Bundesliga,MF,32,775,8.6,,,247.37722731671394,Solid Squad Player,,,645.6215281114496,Top Starter
Matheus Fernandes,Valladolid,es La Liga,MF,21,166,1.8,,,,,,,,
Carlos Fernández,Granada,es La Liga,FW,23,2201,24.5,483.7221454647373,Top Starter,,,,,445.35072966202284,Top Starter
Federico Fernández,Newcastle Utd,eng Premier League,DF,30,2620,29.1,,,,,584.1214024466326,Top Starter,590.2249996668093,Top Starter
Gabriel Fernández,Celta Vigo,es La Liga,FW,25,561,6.2,254.2703518060554,Solid Squad Player,,,,,379.76592649119414,Solid Squad Player
Joaquín Fernández,Valladolid,es La Liga,Def_MF,23,1659,18.4,,,,,706.5739867237747,Top Starter,697.275449208777,Top Starter
Fernandinho,Manchester City,eng Premier League,DF,34,2397,26.6,,,,,653.0723687703094,Top Starter,842.742888845384,World Class
Fernando,Sevilla,es La Liga,Def_MF,32,2659,29.5,,,,,761.6896538765079,World Class,877.7304254110991,World Class
Juan Ferney Otero,Amiens,fr Ligue 1,FW,24,1202,13.4,242.0252355964661,Solid Squad Player,,,,,530.8210899374158,Top Starter
