Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Lazaros Christodoulopoulos,Sampdoria,it Serie A,FW,29.0,353,3.9,,,,,,,,,,
Marquinho,Udinese,it Serie A,MF,29.5,445,4.9,,,,,,,,,,
Jacopo Sala,Sampdoria,it Serie A,DF,24.1,1677,18.6,,,,,462.8786408458442,Top Starter,434.9225399426589,Top Starter,,
Andrea Poli,Milan,it Serie A,MF,26.3,570,6.3,,,480.54477406626125,Top Starter,,,491.8890530296428,Top Starter,,
Davide Biondini,Sassuolo,it Serie A,MF,32.9,1103,12.3,,,296.58740784468216,Solid Squad Player,,,470.04798545392373,Top Starter,,
Alessandro Frara,Frosinone,it Serie A,Def_MF,33.1,1162,12.9,,,,,368.5919289895384,Solid Squad Player,368.9746279561171,Solid Squad Player,,
Nathaniel Chalobah,Napoli,it Serie A,MF,21.1,29,0.3,,,,,,,,,,
Achraf Lazaar,Palermo,it Serie A,MF,23.9,2296,25.5,,,411.7193398371499,Top Starter,,,558.3960707846979,Top Starter,,
Ante Rebić,Hellas Verona,it Serie A,FW,22.3,753,8.4,208.53149553415682,Solid Squad Player,,,,,460.99469967794056,Top Starter,,
Mirko Gori,Frosinone,it Serie A,MF,22.9,2172,24.1,,,283.93166797510264,Solid Squad Player,,,519.4159172889235,Top Starter,,
Aleksandar Tonev,Frosinone,it Serie A,FW,25.9,1082,12.0,138.8171362820825,Below Big-5 Level,,,,,310.1611203923986,Solid Squad Player,,
Camilo Zúñiga,Bologna,it Serie A,DF,30.0,448,5.0,,,,,395.1946940913412,Solid Squad Player,313.34265436909084,Solid Squad Player,,
Daniele Croce,Empoli,it Serie A,MF,33.3,1788,19.9,,,373.96317186770074,Solid Squad Player,,,505.3672029694124,Top Starter,,
Ryder Matos,Udinese,it Serie A,FW,22.8,1611,17.9,299.7707427437974,Solid Squad Player,,,,,383.8450750708998,Solid Squad Player,,
