Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Diadie Samassékou,Hoffenheim,de Bundesliga,MF,26,34,0.4,,,,,,,,,Below Big-5 Level
Mama Samba Baldé,Troyes,fr Ligue 1,FW,26,2665,29.6,426.31400235889396,Top Starter,,,,,426.31400235889396,466.8,Top Starter
Albert Sambi Lokonga,Arsenal,eng Premier League,MF,22,198,2.2,,,,,,,,,Below Big-5 Level
Albert Sambi Lokonga,Crystal Palace,eng Premier League,Def_MF,22,536,6.0,,,,,680.7995459824729,Top Starter,680.7995459824729,544.2,Top Starter
Junior Sambia,Salernitana,it Serie A,DF,25,697,7.7,,,,,451.49418551279183,Top Starter,451.49418551279183,266.5,Solid Squad Player
Fede San Emeterio,Cádiz,es La Liga,MF,25,1844,20.5,,,233.98898676562348,Solid Squad Player,,,233.98898676562348,173.3,Below Big-5 Level
Antonio Sanabria,Torino,it Serie A,FW,26,2433,27.0,491.9722014407257,Top Starter,,,,,491.9722014407257,569.4,Top Starter
Leandro Sanca,Spezia,it Serie A,FW,22,32,0.4,,,,,,,,,Below Big-5 Level
Oihan Sancet,Athletic Club,es La Liga,Off_MF,22,2532,28.1,532.3850002403134,Top Starter,,,,,532.3850002403134,600.2,Top Starter
Renato Sanches,Paris S-G,fr Ligue 1,MF,24,717,8.0,,,649.7913738594854,Top Starter,,,649.7913738594854,688.0,Top Starter
Alexis Sánchez,Marseille,fr Ligue 1,FW,33,2679,29.8,562.6240495778385,Top Starter,,,,,562.6240495778385,627.9,Top Starter
Antonio Sánchez,Mallorca,es La Liga,MF,25,1076,12.0,,,327.7308727659605,Solid Squad Player,,,327.7308727659605,303.6,Solid Squad Player
Davinson Sánchez,Tottenham,eng Premier League,DF,26,858,9.5,,,,,725.8131320733924,Top Starter,725.8131320733924,817.3,World Class
Iván Sánchez,Valladolid,es La Liga,Off_MF,29,1154,12.8,335.4663862485006,Solid Squad Player,,,,,335.4663862485006,342.6,Solid Squad Player
Javi Sánchez,Valladolid,es La Liga,DF,25,2392,26.6,,,,,672.5998467718259,Top Starter,672.5998467718259,715.4,Top Starter
Manu Sánchez,Osasuna,es La Liga,DF,21,2124,23.6,,,,,538.7957543988181,Top Starter,538.7957543988181,459.4,Top Starter
Jadon Sancho,Manchester Utd,eng Premier League,FW,22,1686,18.7,554.5913733733472,Top Starter,,,,,554.5913733733472,667.8,Top Starter
Alex Sandro,Juventus,it Serie A,DF,31,1787,19.9,,,,,565.502481561864,Top Starter,565.502481561864,478.1,Top Starter
