Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Houboulang Mendes,Lorient,fr Ligue 1,DF,23,3220,35.8,,,,,337.16152578840024,Solid Squad Player
Nuno Mendes,Paris S-G,fr Ligue 1,DF,19,1658,18.4,,,,,330.42679161672294,Solid Squad Player
Thiago Mendes,Lyon,fr Ligue 1,MF,29,1863,20.7,,,306.3446054750402,Solid Squad Player,,
Brais Méndez,Celta Vigo,es La Liga,Off_MF,24,3021,33.6,268.7140306122449,Solid Squad Player,,,,
Édgar Méndez,Alavés,es La Liga,FW,31,1614,17.9,140.28209334633914,Below Big-5 Level,,,,
Arial Mendy,Clermont Foot,fr Ligue 1,FW,26,792,8.8,129.57823129251696,Below Big-5 Level,,,,
Batista Mendy,Angers,fr Ligue 1,Def_MF,21,2413,26.8,,,,,355.5842165981686,Solid Squad Player
Ferland Mendy,Real Madrid,es La Liga,DF,26,1734,19.3,,,,,232.64136160781922,Solid Squad Player
Nampalys Mendy,Leicester City,eng Premier League,MF,29,1032,11.5,,,141.8550724637681,Below Big-5 Level,,
Gideon Mensah,Bordeaux,fr Ligue 1,DF,23,1208,13.4,,,,,313.638823426726,Solid Squad Player
Jorge Meré,Köln,de Bundesliga,DF,24,490,5.4,,,,,450.86914817908956,Top Starter
Mikel Merino,Real Sociedad,es La Liga,MF,25,2890,32.1,,,398.52544132917967,Solid Squad Player,,
Quentin Merlin,Nantes,fr Ligue 1,MF,19,1926,21.4,,,527.1962616822431,Top Starter,,
Dries Mertens,Napoli,it Serie A,FW,34,1384,15.4,560.8821646984911,Top Starter,,,,
Lionel Messi,Paris S-G,fr Ligue 1,FW,34,2153,23.9,596.3832673934289,Top Starter,,,,
Junior Messias,Milan,it Serie A,FW,30,1428,15.9,360.4477222055838,Solid Squad Player,,,,
Thomas Meunier,Dortmund,de Bundesliga,DF,29,1402,15.6,,,,,259.98414840520104,Solid Squad Player
Mexer,Bordeaux,fr Ligue 1,DF,32,1227,13.6,,,,,410.95090667846085,Top Starter
Marco Meyerhöfer,Greuther Fürth,de Bundesliga,DF,25,2280,25.3,,,,,410.87540986854486,Top Starter
Matt Miazga,Alavés,es La Liga,DF,26,833,9.3,,,,,426.3835868589687,Top Starter
Miguel,Alavés,es La Liga,FW,21,829,9.2,187.18428144204543,Below Big-5 Level,,,,
William Mikelbrencis,Metz,fr Ligue 1,DF,17,610,6.8,,,,,239.01223647353675,Solid Squad Player
Nikola Milenković,Fiorentina,it Serie A,DF,23,2926,32.5,,,,,379.5161750530171,Solid Squad Player
Arkadiusz Milik,Marseille,fr Ligue 1,FW,27,1416,15.7,442.69933946685535,Top Starter,,,,
Sergej Milinković-Savić,Lazio,it Serie A,MF,26,3100,34.4,,,700.15503875969,Top Starter,,
Éder Militão,Real Madrid,es La Liga,DF,23,3031,33.7,,,,,427.8343732724491,Top Starter
Luka Milivojević,Crystal Palace,eng Premier League,MF,30,774,8.6,,,316.27906976744185,Solid Squad Player,,
Luis Milla,Granada,es La Liga,MF,26,2773,30.8,,,464.2857142857142,Top Starter,,
Pere Milla,Elche,es La Liga,FW,28,1644,18.3,361.1601902448897,Solid Squad Player,,,,
James Milner,Liverpool,eng Premier League,MF,35,853,9.5,,,569.4035087719298,Top Starter,,
Santi Mina,Celta Vigo,es La Liga,FW,25,2367,26.3,295.17321216615073,Solid Squad Player,,,,
Yerry Mina,Everton,eng Premier League,DF,26,846,9.4,,,,,413.11835358867836,Top Starter
Tyrone Mings,Aston Villa,eng Premier League,DF,28,3189,35.4,,,,,399.11725899237047,Solid Squad Player
Óscar Mingueza,Barcelona,es La Liga,DF,22,894,9.9,,,,,276.72008303587245,Solid Squad Player
Rafa Mir,Sevilla,es La Liga,FW,24,1808,20.1,360.2026169229439,Solid Squad Player,,,,
Jorge Miramón,Levante,es La Liga,DF,32,1977,22.0,,,,,328.61031366294526,Solid Squad Player
Aleksei Miranchuk,Atalanta,it Serie A,FW,25,772,8.6,469.56347448540134,Top Starter,,,,
Juan Miranda,Betis,es La Liga,DF,21,783,8.7,,,,,370.90043115451465,Solid Squad Player
Tyrick Mitchell,Crystal Palace,eng Premier League,DF,21,3101,34.5,,,,,386.65843352342205,Solid Squad Player
Stefan Mitrović,Getafe,es La Liga,DF,31,2667,29.6,,,,,287.5074664548348,Solid Squad Player
Maximilian Mittelstädt,Hertha BSC,de Bundesliga,FW,24,1493,16.6,195.130726989591,Below Big-5 Level,,,,
Henrikh Mkhitaryan,Roma,it Serie A,FW,32,2495,27.7,314.51946538743863,Solid Squad Player,,,,
Jakub Moder,Brighton,eng Premier League,Off_MF,22,1701,18.9,207.33195599227346,Solid Squad Player,,,,
Anthony Modeste,Köln,de Bundesliga,FW,33,2606,29.0,556.365340005734,Top Starter,,,,
Luka Modrić,Real Madrid,es La Liga,MF,35,2032,22.6,,,754.778761061947,World Class,,
Terem Moffi,Lorient,fr Ligue 1,FW,22,2711,30.1,330.3021284556643,Solid Squad Player,,,,
Johan Mojica,Elche,es La Liga,DF,28,2855,31.7,,,,,260.22342923554936,Solid Squad Player
Jorge Molina,Granada,es La Liga,FW,39,1966,21.8,428.5092748618305,Top Starter,,,,
Nahuel Molina,Udinese,it Serie A,DF,23,2638,29.3,,,,,225.06563232986795,Solid Squad Player
Cristian Molinaro,Venezia,it Serie A,DF,38,548,6.1,,,,,361.3120232274676,Solid Squad Player
Florent Mollet,Montpellier,fr Ligue 1,FW,29,2630,29.2,247.55021277917564,Solid Squad Player,,,,
Jon Moncayola,Osasuna,es La Liga,MF,23,2915,32.4,,,360.74074074074076,Solid Squad Player,,
Monchu,Granada,es La Liga,MF,21,668,7.4,,,249.1891891891892,Solid Squad Player,,
Thomas Monconduit,Lorient,fr Ligue 1,MF,30,2248,25.0,,,453.0133333333333,Top Starter,,
Gonzalo Montiel,Sevilla,es La Liga,DF,24,1066,11.8,,,,,221.85860130552365,Solid Squad Player
Ángel Montoro,Granada,es La Liga,MF,33,1331,14.8,,,416.6216216216216,Top Starter,,
Martín Montoya,Betis,es La Liga,DF,30,518,5.8,,,,,424.22838705960305,Top Starter
Álvaro Morata,Juventus,it Serie A,FW,28,2302,25.6,415.14073129251705,Top Starter,,,,
Jan Morávek,Augsburg,de Bundesliga,MF,31,471,5.2,,,299.23076923076917,Solid Squad Player,,
Jérémy Morel,Lorient,fr Ligue 1,DF,37,604,6.7,,,,,429.1674459781293,Top Starter
Alberto Moreno,Villarreal,es La Liga,Off_MF,29,1223,13.6,336.3597805788982,Solid Squad Player,,,,
Álex Moreno,Betis,es La Liga,DF,28,2404,26.7,,,,,359.6043792377323,Solid Squad Player
Gerard Moreno,Villarreal,es La Liga,FW,29,1191,13.2,672.2374768089053,Top Starter,,,,
Tete Morente,Elche,es La Liga,Off_MF,24,1632,18.1,278.26209769358945,Solid Squad Player,,,,
Ilaix Moriba,Valencia,es La Liga,MF,18,818,9.1,,,194.19780219780222,Below Big-5 Level,,
Manu Morlanes,Espanyol,es La Liga,MF,22,1144,12.7,,,292.2834645669291,Solid Squad Player,,
Loren Morón,Espanyol,es La Liga,FW,27,563,6.3,158.86904461961151,Below Big-5 Level,,,,
Lebo Mothiba,Troyes,fr Ligue 1,FW,25,522,5.8,300.65991607370916,Solid Squad Player,,,,
Harold Moukoudi,Saint-Étienne,fr Ligue 1,DF,23,1661,18.5,,,,,416.67086635507684,Top Starter
Steve Mounié,Brest,fr Ligue 1,FW,26,2312,25.7,362.46062627385584,Solid Squad Player,,,,
Mason Mount,Chelsea,eng Premier League,Off_MF,22,2363,26.3,605.06513820991,Top Starter,,,,
Lucas Moura,Tottenham,eng Premier League,FW,28,1775,19.7,307.28859575415044,Solid Squad Player,,,,
João Moutinho,Wolves,eng Premier League,MF,34,2970,33.0,,,380.5858585858586,Solid Squad Player,,
Samuel Moutoussamy,Nantes,fr Ligue 1,MF,24,1509,16.8,,,243.45238095238096,Solid Squad Player,,
Toni Moya,Alavés,es La Liga,MF,23,1386,15.4,,,390.8658008658008,Solid Squad Player,,
Nordi Mukiele,RB Leipzig,de Bundesliga,FW,23,1842,20.5,163.3688310012352,Below Big-5 Level,,,,
