Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Alejandro Garnacho,330.058990679295,,,5994,66.5
Alejandro Gutiérrez Mozo,,161.33333333333334,,45,0.5
Alejandro Pozo Pozo,108.33333333333334,,313.07476828196616,6581,73.0
Alejandro Rego,,325.69105691056916,,370,4.1
Alejandro Rodriguez,0.0,,,20,0.2
Alejandro Rodríguez,113.33333333333336,,,25,0.3
Alejo Sarco,230.29591836734696,,,49,0.5
Alejo Véliz,264.188460569413,,,1212,13.5
Aleksa Terzić,,200.0,347.8327870959449,1217,13.5
Aleksandar Dragović,,,334.7631198711034,4314,47.8
Aleksandar Katai,129.0740740740741,,,55,0.6
Aleksandar Kolarov,,,338.74836901455166,9130,101.5
Aleksandar Mitrović,430.16881408420716,,,6818,75.8
Aleksandar Pavlovic,,455.7367755668134,,3282,36.400000000000006
Aleksandar Radovanović,,,391.54515437222204,659,7.3
Aleksandar Sedlar,,,383.8890178789928,2758,30.6
Aleksandar Tonev,119.13076341647772,,,401,4.5
Aleksandar Trajkovski,309.7237987987987,,,330,3.7
Aleksander Buksa,23.323615160349853,,,63,0.7
Aleksandr Golovin,409.3655909680704,,,13344,148.29999999999998
Aleksandr Kokorin,47.925170068027214,,,149,1.6
Aleksei Miranchuk,504.9537152650986,,,4712,52.4
Alen Halilović,260.3546537388902,,,1304,14.5
Alessandro Bastoni,,,361.1603048918839,16984,188.8
Alessandro Bianco,,194.89042675893884,,2771,30.799999999999997
Alessandro Buongiorno,,,392.92992558797516,10130,112.5
Alessandro Circati,,,416.34354745664933,1390,15.4
Alessandro Cortinovis,80.0,,,6,0.1
Alessandro Deiola,,252.69985386249317,367.7750100644123,9173,102.0
Alessandro Dellavalle,,,530.5050505050505,15,0.2
Alessandro Di Pardo,100.0,,347.58175742386265,427,4.8
Alessandro Florenzi,0.0,,313.68084966633876,10946,121.7
Alessandro Gabrielloni,671.3121693121693,,,142,1.6
Alessandro Gamberini,,,383.95617005309555,1815,20.2
Alessandro Marcandalli,,,299.7161084831423,1174,13.0
Alessandro Matri,340.77331695530614,,,1606,17.9
Alessandro Murgia,,324.4977945625625,,3608,40.0
Alessandro Russo,,,146.66666666666669,29,0.3
Alessandro Schöpf,96.11689039347394,381.8374060150376,387.2919335375476,6583,73.2
Alessandro Semprini,,,337.59255281059785,629,7.0
Alessandro Tripaldelli,,,422.24297198459874,435,4.8
Alessandro Tuia,,,439.26790715246807,2274,25.3
Alessandro Vogliacco,,,379.0426367466791,2656,29.5
Alessandro Zanoli,119.0294386760552,,265.85925095991735,5543,61.5
Alessio Cacciamani,79.62962962962963,,,31,0.3
Alessio Castro-Montes,,286.0,,93,1.0
Alessio Cerci,271.5751164934838,,,1635,18.2
Alessio Iovine,,,320.24402090497557,387,4.3
Alessio Romagnoli,,,389.9252231375284,20811,231.2
Alessio Zerbin,153.8392175051839,,281.68638653716556,3163,35.199999999999996
Alessio da Cruz,33.76530612244898,,,144,1.6
Alex Baena,414.9200109528112,,160.0,7824,86.9
Alex Ferrari,,,469.85989499059906,8079,89.8
Alex Iwobi,296.89733445750846,560.5855855855856,,18992,211.0
Alex Král,,219.81937620009276,,6663,74.1
Alex Mighten,0.0,,,8,0.1
Alex Murphy,,,779.0476190476192,13,0.1
Alex Oxlade-Chamberlain,378.77801099983856,590.0000000000001,429.5132893963304,4613,51.2
Alex Petxa,,,356.18175874468784,412,4.6
Alex Pritchard,239.13225173225175,,,3079,34.2
Alex Sandro,,,360.0347651383346,13035,144.8
Alex Scott,248.0312298075572,325.28711484593833,,2843,31.6
Alex Sola,122.16423196123338,,459.57967568493876,2814,31.200000000000003
Alex Telles,,,344.1657924532049,3777,42.0
Alexander,154.74447807371533,,,1070,11.9
Alexander Bernhardsson,424.2369074613974,,,1263,14.0
