Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Éderson,Atalanta,it Serie A,MF,2024-2025,32.0,0.719,86.5,1.25,2.469,0.188,0.125,0.031,0.128,0.134,,,1.156,1.0,1.094,0.938,1.125,5.812,46.562
Noah Edjouma,Toulouse,fr Ligue 1,"MF,FW",2024-2025,1.9,2.105,69.2,4.211,8.947,0.0,1.053,0.0,0.684,0.053,,,0.526,1.053,1.053,0.526,1.053,4.211,32.632
Odsonne Édouard,Crystal Palace,eng Premier League,"MF,FW",2024-2025,1.3,0.0,60.7,2.308,5.385,0.0,0.0,0.0,0.308,0.0,,,0.769,0.0,0.0,0.769,0.769,3.846,18.462
Samuel Edozie,Southampton,eng Premier League,"DF,FW",2024-2025,0.7,2.857,75.8,8.571,32.857,0.0,0.0,0.0,0.0,0.143,,,1.429,1.429,0.0,0.0,0.0,1.429,48.571
Johannes Eggestein,St. Pauli,de Bundesliga,FW,2024-2025,20.6,0.34,73.9,1.214,6.699,0.194,0.146,0.194,0.228,0.102,,,1.165,0.146,0.0,0.243,0.388,2.816,18.641
Maximilian Eggestein,Freiburg,de Bundesliga,MF,2024-2025,31.6,0.348,83.5,1.076,1.297,0.063,0.063,0.0,0.063,0.047,,,0.601,1.013,1.234,1.171,1.709,4.873,25.728
Kingsley Ehizibue,Udinese,it Serie A,DF,2024-2025,27.8,0.432,76.7,1.942,4.173,0.036,0.0,0.036,0.043,0.079,,,0.791,1.259,0.827,1.475,2.518,3.957,20.719
Chidera Ejuke,Sevilla,es La Liga,FW,2024-2025,10.7,4.393,81.6,7.009,9.439,0.187,0.187,0.093,0.103,0.178,,,1.963,1.215,0.467,1.121,0.748,5.888,38.879
Jeff Ekhator,Genoa,it Serie A,"FW,MF",2024-2025,8.5,0.471,66.7,0.471,6.0,0.353,0.118,0.118,0.153,0.118,,,1.294,0.471,0.235,1.176,0.588,3.765,15.294
Hugo Ekitike,Eint Frankfurt,de Bundesliga,FW,2024-2025,28.5,1.825,75.5,3.263,7.544,0.211,0.526,0.281,0.758,0.239,,,1.544,0.421,0.246,0.456,0.842,3.053,22.211
Jurgen Ekkelenkamp,Udinese,it Serie A,MF,2024-2025,21.0,0.476,79.7,1.619,4.095,0.095,0.143,0.095,0.133,0.062,,,0.714,1.19,0.571,1.238,1.238,3.905,21.762
Jacques Ekomie,Angers,fr Ligue 1,"DF,FW",2024-2025,7.7,0.519,70.4,1.688,3.117,0.0,0.0,0.0,0.0,0.0,,,0.0,1.818,0.519,2.078,1.818,4.286,17.532
Emmanuel Ekong,Empoli,it Serie A,"MF,FW",2024-2025,2.1,3.333,68.2,3.81,9.048,0.0,0.0,0.0,0.048,0.048,,,0.952,1.429,0.476,0.952,0.476,4.762,23.81
Caleb Ekuban,Genoa,it Serie A,FW,2024-2025,6.2,0.484,67.3,1.129,6.774,0.161,0.161,0.484,0.452,0.129,,,1.29,0.484,0.161,0.645,0.968,3.226,15.645
Pierre Ekwah Elimby,Saint-Étienne,fr Ligue 1,MF,2024-2025,28.6,0.629,88.2,0.699,0.734,0.105,0.035,0.0,0.024,0.035,,,0.559,1.154,1.643,0.909,2.517,5.385,31.713
Anthony Elanga,Nott'ham Forest,eng Premier League,"FW,MF",2024-2025,27.8,0.899,65.3,3.669,8.237,0.108,0.216,0.396,0.162,0.205,,,1.799,0.504,0.216,0.396,0.899,3.201,21.583
