Player,Squad,tm_player_id,MarketValue_EUR,MatchScore
Daley Blind,Manchester Utd,12282.0,3000000.0,100
Danny Blum,Eint Frankfurt,41541.0,250000.0,100
Emmanuel Boateng,Levante,332612.0,1000000.0,100
Jérôme Boateng,Bayern Munich,26485.0,400000.0,100
Kevin-Prince Boateng,Eint Frankfurt,16922.0,700000.0,100
Raúl Bobadilla,Gladbach,51356.0,175000.0,100
Yann Bodiger,Toulouse,290533.0,1400000.0,100
Mathieu Bodmer,Amiens,27305.0,250000.0,100
Jeremie Boga,Chelsea,216569.0,10000000.0,100
Quentin Boisgard,Toulouse,412671.0,700000.0,100
Yannick Bolasie,Everton,75471.0,250000.0,100
Deian Boldor,Hellas Verona,239570.0,650000.0,100
Giacomo Bonaventura,Milan,57280.0,3000000.0,100
Federico Bonazzoli,SPAL,241527.0,2500000.0,100
Federico Bonazzoli,Sampdoria,241527.0,2500000.0,100
Daniele Bonera,Villarreal,5856.0,200000.0,100
Gaëtan Bong,Brighton,36291.0,150000.0,100
Kevin Bonifazi,Torino,247377.0,300000.0,100
Leonardo Bonucci,Milan,39983.0,1000000.0,100
Wilfried Bony,Swansea City,81808.0,100000.0,100
Celso Borges,La Coruña,81532.0,175000.0,100
Fabio Borini,Milan,96754.0,2200000.0,100
Marco Borriello,SPAL,5825.0,400000.0,100
Gabriel Boschilia,Monaco,288496.0,1700000.0,100
Ryad Boudebouz,Betis,77826.0,1200000.0,100
Sofiane Boufal,Southampton,232271.0,3500000.0,100
Arnold Bouka Moutou,Dijon,57358.0,150000.0,100
Farid Boulaya,Metz,202318.0,2000000.0,100
Emmanuel Bourgaud,Amiens,57359.0,325000.0,100
Benjamin Bourigeaud,Rennes,266359.0,18000000.0,100
Eneko Bóveda,La Coruña,89313.0,400000.0,100
Eneko Bóveda,Athletic Club,89313.0,400000.0,100
Lucas Boyé,Torino,334222.0,7000000.0,100
Lucas Boyé,Celta Vigo,334222.0,7000000.0,100
Robbie Brady,Burnley,128229.0,600000.0,100
Martin Braithwaite,Bordeaux,95732.0,5000000.0,100
Brandon,Rennes,236168.0,3500000.0,100
Julian Brandt,Leverkusen,187492.0,25000000.0,100
Darko Brašanac,Leganés,95641.0,1400000.0,100
Josip Brekalo,Wolfsburg,293169.0,3500000.0,100
Josip Brekalo,Stuttgart,293169.0,3500000.0,100
Jimmy Briand,Guingamp,18909.0,600000.0,100
Enrico Brignola,Benevento,323147.0,550000.0,100
Miguel Britos,Watford,76799.0,2000000.0,100
Leon Britton,Swansea City,40043.0,1000000.0,100
Petar Brlek,Genoa,160471.0,250000.0,100
John Brooks,Wolfsburg,124732.0,2000000.0,100
Daniel Brosinski,Mainz 05,43984.0,300000.0,100
Izzy Brown,Brighton,245805.0,800000.0,100
Marcelo Brozović,Inter,156617.0,20000000.0,100
Bruma,RB Leipzig,139396.0,7000000.0,100
Jeffrey Bruma,Wolfsburg,88721.0,250000.0,100
Bruno,Brighton,367255.0,900000.0,100
Chris Brunt,West Brom,36814.0,350000.0,100
Jacob Bruun Larsen,Stuttgart,293281.0,5000000.0,100
Jacob Bruun Larsen,Dortmund,293281.0,5000000.0,100
Marcel Büchel,Hellas Verona,74956.0,300000.0,100
Ante Budimir,Crotone,46413.0,3000000.0,100
Alberto Bueno,Málaga,45335.0,150000.0,100
Onur Bulut,Freiburg,152733.0,800000.0,100
Alessandro Buongiorno,Torino,386446.0,30000000.0,100
Nicolás Burdisso,Torino,3417.0,300000.0,100
Guido Burgstaller,Schalke 04,49239.0,1000000.0,100
Burgui,Alavés,246277.0,50000.0,100
Oliver Burke,West Brom,341317.0,3000000.0,100
Patrick Burner,Nice,444725.0,700000.0,100
Dženis Burnić,Stuttgart,251295.0,550000.0,100
Sergio Busquets,Barcelona,65230.0,3500000.0,100
Unai Bustinza,Leganés,156808.0,300000.0,100
Sam Byram,West Ham,236953.0,600000.0,100
Jakub Błaszczykowski,Wolfsburg,29835.0,25000.0,97
Erick Cabaco,Levante,302991.0,1000000.0,100
Yohan Cabaye,Crystal Palace,29434.0,500000.0,100
Rémy Cabella,Marseille,113707.0,1500000.0,100
