Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Fodé Ballo-Touré,Lille,fr Ligue 1,DF,20.0,2055,22.8,,,,,604.9830613494328,Top Starter,2017-2018
Florent Balmont,Dijon,fr Ligue 1,MF,37.0,860,9.6,,,686.2101393332043,Top Starter,,,2017-2018
Leon Balogun,Mainz 05,de Bundesliga,DF,29.0,1173,13.0,,,,,811.343452787962,World Class,2017-2018
Mario Balotelli,Nice,fr Ligue 1,FW,26.0,2269,25.2,561.5886879431772,Top Starter,,,,,2017-2018
Abdoulaye Bamba,Angers,fr Ligue 1,DF,27.0,1533,17.0,,,,,462.5694827059796,Top Starter,2017-2018
Jonathan Bamba,Saint-Étienne,fr Ligue 1,FW,21.0,2572,28.6,441.56421818311014,Top Starter,,,,,2017-2018
Yacine Bammou,Nantes,fr Ligue 1,Off_MF,25.0,725,8.1,368.4600000274326,Solid Squad Player,,,,,2017-2018
Éver Banega,Sevilla,es La Liga,MF,29.0,2399,26.7,,,793.4128271669583,World Class,,,2017-2018
Mattia Bani,Chievo,it Serie A,DF,23.0,1317,14.6,,,,,777.090053814494,World Class,2017-2018
Beni Baningime,Everton,eng Premier League,MF,18.0,198,2.2,,,,,,,2017-2018
Léo Baptistão,Espanyol,es La Liga,FW,24.0,2677,29.7,408.0353900928064,Top Starter,,,,,2017-2018
Sekou Baradji,Amiens,fr Ligue 1,Def_MF,33.0,7,0.1,,,,,,,2017-2018
Antonín Barák,Udinese,it Serie A,MF,22.0,2713,30.1,,,588.2599798532756,Top Starter,,,2017-2018
Andrea Barberis,Crotone,it Serie A,MF,23.0,3029,33.7,,,419.777451856165,Top Starter,,,2017-2018
Enis Bardhi,Levante,es La Liga,Off_MF,22.0,1580,17.6,541.5552907423315,Top Starter,,,,,2017-2018
Phil Bardsley,Burnley,eng Premier League,DF,32.0,1125,12.5,,,,,778.2876344979212,World Class,2017-2018
Nicolò Barella,Cagliari,it Serie A,MF,20.0,2955,32.8,,,552.3419613411024,Top Starter,,,2017-2018
Philipp Bargfrede,Werder Bremen,de Bundesliga,MF,28.0,1859,20.7,,,410.92168272819174,Top Starter,,,2017-2018
Ross Barkley,Chelsea,eng Premier League,Off_MF,23.0,129,1.4,,,,,,,2017-2018
Aymen Barkok,Eint Frankfurt,de Bundesliga,FW,19.0,314,3.5,,,,,,,2017-2018
Ashley Barnes,Burnley,eng Premier League,FW,27.0,2165,24.1,382.1755699349061,Solid Squad Player,,,,,2017-2018
Harvey Barnes,Leicester City,eng Premier League,Off_MF,19.0,10,0.1,,,,,,,2017-2018
Antonio Barragán,Betis,es La Liga,DF,30.0,2373,26.4,,,,,576.7655902475743,Top Starter,2017-2018
Antonio Barreca,Torino,it Serie A,DF,22.0,468,5.2,,,,,559.3348576980095,Top Starter,2017-2018
Édgar Barreto,Sampdoria,it Serie A,MF,33.0,1965,21.8,,,477.221536483544,Top Starter,,,2017-2018
Barri,Getafe,es La Liga,MF,21.0,113,1.3,,,,,,,2017-2018
Musa Barrow,Atalanta,it Serie A,FW,18.0,443,4.9,,,,,,,2017-2018
Gareth Barry,West Brom,eng Premier League,MF,36.0,1923,21.4,,,395.24490068730694,Solid Squad Player,,,2017-2018
Fin Bartels,Werder Bremen,de Bundesliga,FW,30.0,1121,12.5,422.8062237040565,Top Starter,,,,,2017-2018
Kyle Bartley,Swansea City,eng Premier League,DF,26.0,235,2.6,,,,,,,2017-2018
Marc Bartra,Betis,es La Liga,DF,26.0,1420,15.8,,,,,863.375276405153,World Class,2017-2018
Marc Bartra,Dortmund,de Bundesliga,DF,26.0,807,9.0,,,,,875.4442861994349,World Class,2017-2018
Andrea Barzagli,Juventus,it Serie A,DF,36.0,1447,16.1,,,,,544.9565115508003,Top Starter,2017-2018
Daniele Baselli,Torino,it Serie A,MF,25.0,2521,28.0,,,431.4214143208505,Top Starter,,,2017-2018
Nicolas Basin,Metz,fr Ligue 1,DF,19.0,313,3.5,,,,,,,2017-2018
Dušan Basta,Lazio,it Serie A,DF,32.0,775,8.6,,,,,507.5893303146621,Top Starter,2017-2018
Gil Bastião Dias,Fiorentina,it Serie A,FW,20.0,1190,13.2,382.360185238035,Solid Squad Player,,,,,2017-2018
Gil Bastião Dias,Monaco,fr Ligue 1,Off_MF,20.0,8,0.1,,,,,,,2017-2018
Samuel Bastien,Chievo,it Serie A,MF,20.0,1355,15.1,,,266.7873724503417,Solid Squad Player,,,2017-2018
Borja Bastón,Málaga,es La Liga,FW,24.0,985,10.9,196.26335168698904,Below Big-5 Level,,,,,2017-2018
Alessandro Bastoni,Atalanta,it Serie A,DF,18.0,91,1.0,,,,,,,2017-2018
Bastos,Lazio,it Serie A,DF,26.0,1407,15.6,,,,,693.5291258803778,Top Starter,2017-2018
Michy Batshuayi,Chelsea,eng Premier League,FW,23.0,360,4.0,,,,,,,2017-2018
Michy Batshuayi,Dortmund,de Bundesliga,FW,23.0,839,9.3,689.1164718189585,Top Starter,,,,,2017-2018
Moritz Bauer,Stoke City,eng Premier League,DF,25.0,1306,14.5,,,,,437.5423900897734,Top Starter,2017-2018
Robert Bauer,Werder Bremen,de Bundesliga,DF,22.0,956,10.6,,,,,706.6074116608964,Top Starter,2017-2018
